Matvare ID,Matvare,Kategori,Kostholdsgrupper,Kilojoule (kJ),Kilokalorier (kcal),Vann (g),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Salt (NaCl) (g),Alkohol (g),Vitamin A (RAE) (RAE),Vitamin A (RE) (RE),Retinol (µg),Betakaroten (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Jern (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Magnesium (Mg) (mg),Sink (Zn) (mg),Selen (Se) (µg),Kobber (Cu) (mg),Fosfor (P) (mg),Jod (I) (µg),FoodEx2-klassifisering
1.344,"Appenzeller, ost",Meieriprodukter,Meieriprodukter,1586,383,44,31.7,19,0.9,3.4,8.8,2.3,0.6,7.4,0.7,8.6,1.5,0.4,0.2,0,0,0,0,0,0,0,0.4,1.3,95,0,0,0,0,0,0,24.3,1.6,0,366,381,350,190,0.5,1,0.04,0.36,0.1,5.8,0.07,15,1.1,0,740,0.3,620,82,29,4,0,0,540,8,A02SY#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6E$F28.A0C6F
1.063,"Baconost, smørbar",Meieriprodukter,Meieriprodukter,886,213,68,17,10.8,0.5,1.7,4.8,1.8,0.5,4.1,0.4,3.5,0.4,0.2,0.1,0,0,0,0,0,0,0,0.1,0.1,42,0.1,0,0.1,0,0,0,15,2.4,0,175,190,160,184,0.1,0,0.05,0.2,0.3,3.8,0.16,12,0.5,0,376,0.3,940,60,15,3,6,0.05,900,18,A031C
1.136,"Brie, hvitmuggost",Meieriprodukter,Meieriprodukter,1491,361,51,33.1,23.1,1.2,4.1,11.8,2.9,1,8,0.6,6.8,1,0.8,0.1,0,0,0,0,0,0,0,0.1,0.8,111,0.1,0,0.1,0,0,0,15.6,1.1,0,266,273,259,85,0,0.9,0,0.42,0.5,4.2,0.11,40,0.8,0,420,0.1,420,72,18,2.2,10,0.02,300,15,A02RV
1.186,"Brunost, uspesifisert",Meieriprodukter,Meieriprodukter,1707,410,31,27,17.2,0.8,2.5,7.7,3,0.8,6.5,0.6,5.6,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.2,71,30.3,0,30.3,0,0,0,11.3,0.8,0,280,287,272,91,0,0.8,0.16,1.18,0.2,2.8,0.04,28,1.3,0,518,0.2,323,1444,82,1.1,8,0.02,620,202,A02MR#F26.A07XD
1.345,"Burrata, ost",Meieriprodukter,Meieriprodukter,1187,287,60,25.7,15,0.8,2.6,6.3,2.7,0,7.9,0.7,6.6,0.8,0.4,0.4,0,0,0,0,0,0,0,0.4,0.4,70,1.8,0,1.8,0,0,0,12.1,0.3,0,216,229,203,159,0.2,0.6,0.03,0.21,0.3,3.1,0.06,12,1.1,0,127,0.2,134,127,9,1.7,2,0,234,3,A02QP#F02.A06BL$F27.A02LT$F28.A0C6E
1.025,"Camembert, hvitmuggost",Meieriprodukter,Meieriprodukter,1252,302,56,25,14.2,0.8,2.4,6.5,2.4,0.8,5.6,0.4,4.9,0.7,0.6,0.1,0,0,0,0,0,0,0,0.1,0.6,72,0.1,0,0.1,0,0,0,19.3,1.2,0,208,212,204,49,0,0.5,0.02,0.54,1.3,5.8,0.22,51,0.9,0,450,0.1,490,110,19,2.5,10,0.02,350,33,A02RX
1.027,"Cheddar, gulost",Meieriprodukter,Meieriprodukter,1614,389,43,32,20.3,1,3.2,9.1,3.3,1,7.7,0.7,6.5,0.7,0.5,0.1,0,0,0,0,0,0,0,0.1,0.1,79,0.3,0,0.3,0,0,0,25,2,0,376,387,364,141,0.3,0.6,0.03,0.28,0.1,5.9,0.15,31,2.4,0,660,0.2,800,70,24,3.4,6,0.04,445,30,A02YK
1.251,"Chevre, geitost, naturell",Meieriprodukter,Meieriprodukter,1308,316,56,28,18.1,0.9,2.3,8.2,3.5,0.8,6.6,0.5,6,0.7,0.5,0.1,0,0,0,0,0,0,0,0.1,0.5,83,1,0,1,0,0,0,15,1.1,0,210,210,210,1,0,0.7,0.03,0.53,0.8,4.3,0.06,82,0.8,0,64,0.2,440,121,12,0.5,9,0.04,240,80,A02QQ#F27.A02MB
1.028,Cottage cheese,Meieriprodukter,Meieriprodukter,406,97,81,4.3,2.7,0.1,0.4,1.2,0.5,0.1,1,0.1,0.9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,11,1.5,0,1.5,0,0,0,13,0.4,0,18,20,16,25,0,0,0.05,0.2,0.1,3.1,0,12,0.6,0,80,0,160,82,9,0.6,4,0.02,165,15,A02QG#F18.A07NL$F19.A07PR
1.062,"Crème Chérie, mykost",Meieriprodukter,Meieriprodukter,1385,335,55,31,19.6,0.9,3.1,8.8,3.2,0.9,7.5,0.7,6.3,0.7,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,76,0,0,0,0,0,0,14,2.3,0,155,170,140,182,0.2,0.7,0.02,0.16,0,3.3,0,14,0.5,0,390,0.3,900,104,16,2.3,0,0.08,960,6,A031B
1.089,"Crème fraîche, 35 % fett",Meieriprodukter,Meieriprodukter,1378,335,60,35,22.2,1.1,3.5,9.9,3.6,1,8.4,0.8,7.1,0.8,0.5,0.1,0,0,0,0,0,0,0,0.1,0.1,86,2.9,0,2.9,0,0,0,2,0.1,0,505,522,488,206,0.2,0.8,0.03,0.15,0,0.5,0.02,4,0.2,0,80,0,30,97,6,0.2,1,0,53,17,A02NC#F07.A074A
1.03,"Edamer, gulost",Meieriprodukter,Meieriprodukter,1475,355,45,27,17.1,0.8,2.7,7.6,2.8,0.8,6.5,0.6,5.5,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,66,0,0,0,0,0,0,28,1.5,0,257,270,244,159,0,0.7,0.08,0.3,0.4,6.9,0.03,41,2.4,0,800,0.2,600,76,32,4.4,10,0.04,580,30,A02TV#F07.A073Q
1.188,"Feta, ost med geitmelk",Meieriprodukter,Meieriprodukter,1080,260,61,20.8,13.3,0.7,2.1,6.1,2,0.7,4.8,0.3,3.3,0.5,0.3,0.1,0,0,0,0,0,0,0,0.1,0.3,63,0.2,0,0.2,0,0,0,18.1,2.7,0,198,205,191,84,0.2,0.2,0.05,0.45,1.8,6,0.25,62,1.1,0,220,0.1,1060,34,8,1.5,9,0.03,224,12,A02RC
1.053,"Fløtemysost, brunost",Meieriprodukter,Meieriprodukter,1693,406,31,26,16.5,0.8,2.6,7.4,2.7,0.8,6.3,0.6,5.3,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,64,32,0,32,0,0,0,11,0.9,0,246,258,234,149,0,0,0.18,1.01,0,2.6,0.05,51,1.9,0,540,0.2,340,1410,79,1.1,7,0.02,603,134,A02MR#F07.A073P$F18.A07NZ$F19.A07PR$F27.A02LV
1.054,"Fløtemysost, brunost, lett",Meieriprodukter,Meieriprodukter,1493,356,31,16,10.1,0.5,1.6,4.5,1.7,0.5,3.9,0.4,3.3,0.4,0.2,0.1,0,0,0,0,0,0,0,0.1,0.1,39,41,0,41,0,0,0,12,0.9,0,155,163,147,96,0,0.4,0.19,1.05,0,2.8,0,39,1.5,0,553,0.7,360,1452,87,1,8,0.01,565,154,A02MR#F10.A0CRG$F18.A07NZ$F19.A07PR$F27.A02LV
1.032,Gamalost,Meieriprodukter,Meieriprodukter,940,221,45,0.6,0.4,0,0.1,0.2,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0.1,0,10,10,9,6,0,0,0.05,0.75,2.5,15.1,0.08,22,0.8,0,150,0.3,20,98,13,2.8,20,0.09,530,44,A02RH#F07.A06YP$F18.A07NL$F19.A07PR$F27.A02MA$F28.A07KA
1.013,"Geitmelk, langtidsholdbar",Meieriprodukter,Meieriprodukter,286,69,89,4.5,2.9,0.1,0.4,1.3,0.6,0.1,1.1,0.1,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,13,4,0,4,0,0,0,3,0,0,18,18,18,3,0,0.1,0.02,0.2,0.4,1.1,0.06,0,0,0,103,0.1,3,165,13,0.3,2,0.13,94,66,A02MB
1.052,"Geitost, brunost",Meieriprodukter,Meieriprodukter,1713,411,31,27,17.4,0.8,2.2,7.9,3.4,0.7,6.3,0.5,5.8,0.6,0.5,0.1,0,0,0,0,0,0,0,0.1,0.5,80,29,0,29,0,0,0,13,0.8,0,339,339,339,0,0,0.9,0.15,1.47,0,3,0.01,9,0.7,0,553,0.2,330,1700,95,1.3,6,0.03,747,307,A02MR#F07.A073Q$F18.A07NZ$F19.A07PR$F27.A02MB
1.248,"Geitost, hvit, Balsfjord",Meieriprodukter,Meieriprodukter,1649,398,43,34,22,1.1,2.8,10,4.3,0.9,8,0.6,7.2,0.8,0.6,0.1,0,0,0,0,0,0,0,0.1,0.6,101,0,0,0,0,0,0,23,1,0,256,256,256,1,0,0.9,0.1,0.26,0.4,5.8,0.05,19,0.2,0,1000,0.3,400,101,63,3.9,9,0.06,710,86,A02SV#F27.A02MB
1.249,"Geitost, hvit, Kvitlin",Meieriprodukter,Meieriprodukter,1612,389,44,33,21.3,1,2.8,9.7,4.2,0.9,7.8,0.6,7,0.8,0.6,0.1,0,0,0,0,0,0,0,0.1,0.6,98,0,0,0,0,0,0,23,1.5,0,225,225,225,1,0,0.8,0.1,0.26,0.4,5.8,0.05,19,0.2,0,1000,0.3,600,101,63,3.9,9,0.06,710,86,A02SV#F27.A02MB
1.257,"Geitost, smørbar, dill, Snøfrisk",Meieriprodukter,Meieriprodukter,997,241,68,23,14.9,0.7,1.9,6.8,2.9,0.6,5.4,0.4,4.9,0.5,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4,68,2.6,0,2.6,0,0,0,6,1.5,0,218,229,207,135,0,0.6,0.02,0.17,0.2,1.6,0.04,14,0.2,0,97,0.1,600,145,12,0.7,6,0.01,105,50,A02QZ#F18.A07NL$F19.A07PR$F27.A02MB
1.26,"Geitost, smørbar, kantarell, Snøfrisk",Meieriprodukter,Meieriprodukter,997,241,68,23,14.9,0.7,1.9,6.8,2.9,0.6,5.4,0.4,4.9,0.5,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4,68,2.6,0,2.6,0.4,0.4,0,6,1.3,0,218,229,207,135,0,0.6,0.02,0.17,0.2,1.6,0.04,14,0.2,0,97,0.1,520,145,12,0.7,6,0.01,105,58,A02QZ#F18.A07NL$F19.A07PR$F27.A02MB
1.117,"Geitost, smørbar, naturell, Snøfrisk",Meieriprodukter,Meieriprodukter,1049,254,67,24,15.2,0.7,2.4,6.8,2.5,0.7,5.8,0.6,4.9,0.5,0.3,0.1,0,0,0,0,0,0,0,0.1,0.1,59,2.5,0,2.5,0,0,0,7,1.3,0,109,115,102,79,0,0.7,0.02,0.13,0.2,1.8,0.12,9,0.2,0,85,0,520,135,11,0.1,6,0,105,39,A02QZ#F18.A07NL$F19.A07PR$F27.A02MB
1.258,"Geitost, smørbar, rødløk og timian, Snøfrisk",Meieriprodukter,Meieriprodukter,999,242,68,23,14.9,0.7,1.9,6.8,2.9,0.6,5.4,0.4,4.9,0.5,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4,68,2.7,0,2.7,0,0,0,6,1.6,0,218,229,207,135,0,0.6,0.02,0.17,0.2,1.6,0.04,14,0.2,0,97,0.1,640,145,12,0.7,6,0.01,105,60,A02QZ#F18.A07NL$F19.A07PR$F27.A02MB
1.058,"Gomme, Namdal",Meieriprodukter,Meieriprodukter,1056,252,52,12,7.6,0.4,1.2,3.4,1.2,0.4,2.9,0.3,2.5,0.3,0.2,0.1,0,0,0,0,0,0,0,0.1,0.1,30,26,0,26,6,6,0,10,0.6,0,114,119,108,70,0,0.3,0.19,0.73,0,2.3,0,43,1.1,0,398,0.5,250,1007,61,0.8,10,0.01,402,107,A02QF#F27.A02LV
1.261,"Gorgonzola, blåmuggost",Meieriprodukter,Meieriprodukter,1485,359,49,31.2,20.3,1,3.1,8.1,3.2,0.6,6.8,0.4,6.2,0.9,0.5,0.1,0,0,0,0,0,0,0,0.2,0.6,87,0.1,0,0.1,0,0,0,19.4,3.6,0,350,364,336,168,0,0,0.01,0.18,0.9,5.4,0.07,52,1.2,0,612,0.3,1450,138,18,2.5,7,0.02,356,12,A030H
1.302,Goudaost,Meieriprodukter,Meieriprodukter,1562,377,44,30.6,20.3,1.1,3.2,8.6,2.9,1.1,6.8,0.5,5.7,0.6,0.7,0.2,0,0,0,0,0,0,0,0.2,0.7,85,0,0,0,0,0,0,25.3,2.3,0,270,281,258,139,0.2,0.6,0.03,0.3,0.1,6,0.08,43,1.7,0,773,0.3,925,82,32,3.9,8,0,498,21,A02VA#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6E$F28.A0C6F
1.336,"Grana padano, ost",Meieriprodukter,Meieriprodukter,1535,369,41,26.9,17.4,0.9,3,8.4,2.4,1.1,6.9,0.5,6,1,0.8,0.1,0,0,0,0,0,0,0,0.1,0.8,94,0,0,0,0,0,0,31.8,1.3,0,211,213,208,31,0.8,0.7,0.02,0.17,0,7.4,0.15,55,1.1,0,970,0.1,530,99,41,4.9,18,0.5,610,81,A02ZQ#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6E$F28.A0C6F
1.262,"Gruyere, ost",Meieriprodukter,Meieriprodukter,1710,412,38,32.3,18.9,0.9,3.4,8.8,2.3,0.6,10,0.7,8.6,1.7,1.3,0.4,0,0,0,0,0,0,0,0.4,1.3,110,0.4,0,0.4,0,0,0,29.8,1.8,0,271,273,268,33,0.6,0.3,0.06,0.28,0.1,7.1,0.08,10,1.6,0,1011,0.2,714,81,36,3.9,5,0.03,605,40,A02YP
1.038,Gräddost,Meieriprodukter,Meieriprodukter,1729,418,43,38,24.1,1.1,3.8,10.8,4,1.1,9.2,0.9,7.8,0.8,0.5,0.1,0,0,0,0,0,0,0,0.1,0.1,94,0,0,0,0,0,0,19,1.3,0,362,380,343,223,0,1,0.05,0.21,0.3,4.7,0.02,22,1.7,0,600,0.2,500,55,25,3.2,10,0.03,430,42,A02VB
1.055,"Gudbrandsdalsost, brunost",Meieriprodukter,Meieriprodukter,1716,412,32,28,17.7,0.8,2.8,7.9,2.9,0.8,6.8,0.6,5.7,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,69,30,0,30,0,0,0,10,0.8,0,254,264,244,123,0,0.7,0.14,1.06,0.3,2.6,0.06,25,1.3,0,460,0,300,1221,71,0.8,10,0.02,510,164,A02MR#F18.A07NZ$F19.A07PR$F27.A02LV$F27.A02MB
1.072,"Gudbrandsdalsost, brunost, lett",Meieriprodukter,Meieriprodukter,1510,360,30,16,10.1,0.5,1.6,4.5,1.7,0.5,3.9,0.4,3.3,0.4,0.2,0.1,0,0,0,0,0,0,0,0.1,0.1,39,42,0,42,0,0,0,12,0.9,0,146,151,140,66,0,0.4,0.16,1.09,0,2.8,0,39,1.5,0,594,0.8,360,1519,92,1,13,0.02,605,189,A02MR#F10.A0CRG$F18.A07NZ$F19.A07PR
1.185,"Gulost, uspesifisert",Meieriprodukter,Meieriprodukter,1444,348,46,26.7,16.9,0.8,2.7,7.5,2.8,0.8,6.4,0.6,5.4,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,65,0,0,0,0,0,0,26.9,1.2,0,127,128,125,18,0,0.5,0.09,0.3,0.5,6.8,0.03,43,2.4,0,818,0.2,486,76,33,4.6,11,0.04,595,30,A02SV#F10.A0F2R$F26.A07XD
1.27,"Halloumi, ost",Meieriprodukter,Meieriprodukter,1204,290,55,21.9,14.9,0.8,2.3,6.8,1.9,0.8,4.6,0.3,4,0.8,0.7,0.1,0,0,0,0,0,0,0,0.1,0.7,71,0.9,0,0.9,0,0,0,22.3,4.2,0,192,192,192,0,0.2,0.5,0.02,0.25,0.1,5.3,0.04,2,0.6,0,633,0.2,1680,74,34,3,10,0.03,406,34,A065R
1.001,"Helmelk, 3,5 % fett, Tine",Meieriprodukter,Meieriprodukter,264,63,89,3.5,2.2,0.1,0.3,1,0.4,0.1,0.8,0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,9,4.5,0,4.5,0,0,0,3.4,0.1,0,22,23,20,19,0,0,0,0.15,0,0.8,0,0,0.6,0,130,0,40,171,11,0.4,1,0.02,115,16,A02LY
1.272,"Helmelk, 3,5 % fett, laktosefri",Meieriprodukter,Meieriprodukter,249,60,90,3.5,2.2,0.1,0.3,1,0.4,0.1,0.8,0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,4,0.1,0,0,0,0,0,0,0.1,0.02,0.06,0.1,1,0.03,5,0.5,0,120,0,30,160,8,0.3,2,0,91,14,A02LY#F07.A06ZY$F10.A0CQD$F18.A07NL$F19.A07PN
1.235,"Helmelk, 4 % fett, Q-meieriene",Meieriprodukter,Meieriprodukter,280,67,88,3.9,2.6,0.1,0.4,1.2,0.5,0.1,1,0.1,0.8,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,10,4.5,0,4.5,0,0,0,3.5,0.1,0,38,40,36,25,0,0.1,0.05,0.14,0.1,0.9,0.04,11,0.5,0,140,0,40,180,13,0.6,0,0.02,105,16,A02LY
1.283,"Helmelk, 4,1 % fett, økologisk",Meieriprodukter,Meieriprodukter,279,67,88,4.1,2.7,0.1,0.5,1.2,0.4,0.1,0.9,0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,11,4.5,0,4.5,0,0,0,3,0.1,0,26,27,24,22,0,0,0,0.15,0,0.7,0,0,0.4,0,120,0,35,170,0,0,0,0,100,20,A02LY#F07.A070E$F18.A07NL$F19.A07PN$F21.A07SE
1.236,"Helmelk, uspesifisert",Meieriprodukter,Meieriprodukter,267,64,89,3.6,2.3,0.1,0.4,1,0.4,0.1,0.8,0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,9,4.5,0,4.5,0,0,0,3.4,0.1,0,25,26,23,20,0,0,0.01,0.15,0,0.8,0.01,2,0.6,0,132,0,40,173,11,0.4,1,0.02,113,16,A02LY#F26.A07XD
1.035,"Jarlsberg, gulost",Meieriprodukter,Meieriprodukter,1458,351,46,27,17.1,0.8,2.7,7.6,2.8,0.8,6.5,0.6,5.5,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,66,0,0,0,0,0,0,27,1.1,0,257,270,244,159,0,0.7,0.14,0.32,0.8,7.1,0.02,36,2.2,0,770,0.5,440,71,33,4.2,12,0.04,550,32,A02VF#F18.A07NZ$F19.A07PR
1.071,"Jarlsberg, gulost, lett",Meieriprodukter,Meieriprodukter,1119,268,53,16,10.1,0.5,1.6,4.5,1.7,0.5,3.9,0.4,3.3,0.4,0.2,0.1,0,0,0,0,0,0,0,0.1,0.1,39,0,0,0,0,0,0,31,1,0,152,159,144,94,0,0.4,0.08,0.44,0.5,7.7,0.02,25,2.4,0,910,0.2,400,80,37,5,13,0.05,670,17,A02VF#F02.A06BN$F07.A073D$F10.A0CJP$F10.A0CRG$F18.A07NZ$F19.A07PR$F27.A02LT$F28.A0C6E$F28.A0C6F
1.108,"Kaffefløte, 10 % fett",Meieriprodukter,Meieriprodukter,491,118,83,10,6.3,0.3,1,2.8,1,0.3,2.4,0.2,2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,25,4.1,0,4.1,0,0,0,3,0.1,0,144,148,139,59,0.1,0.2,0.04,0.15,0.1,0.8,0.03,5,0.4,0,119,0.1,40,157,11,0.4,2,0,80,17,A02ML#F07.A072X
1.109,"Kaffemelk, 3,5 % fett",Meieriprodukter,Meieriprodukter,255,61,89,3.5,2.2,0.1,0.3,1,0.4,0.1,0.8,0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,9,4.4,0,4.4,0,0,0,3,0.1,0,42,43,40,21,0,0.1,0.05,0.15,0.1,0.8,0.04,4,0.5,0,115,0,40,150,10,0.4,1,0.01,90,16,A02LY#F07.A06ZY$F18.A07NL$F19.A07PR
1.196,"Kakao, med lettmelk, tilberedt",Meieriprodukter,Meieriprodukter,338,80,82,1.6,1,0,0.1,0.4,0.3,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,11.7,0.4,11.3,7,7,1,4.2,0.1,0,5,6,5,6,0.3,0,0.03,0.14,0.1,1.1,0.02,4,0.5,0,129,0.4,40,303,27,0.6,1,0.15,132,15,A03KY#F04.A02LZ$F04.A032H$F28.A0BA1
1.225,"Krem, pisket, på boks",Meieriprodukter,Meieriprodukter,1340,325,60,33,20.9,1,3.3,9.3,3.4,1,8,0.8,6.7,0.7,0.5,0.1,0,0,0,0,0,0,0,0.1,0.1,81,5,0,5,2,2,0,2,0.1,0,148,164,132,194,0,0.8,0.03,0.14,0,0.5,0.02,4,0.2,0,80,0,30,98,6,0.2,1,0,53,12,A02MN#F19.A07PG$F28.A07LE
1.015,"Kremfløte, 37 % fett",Meieriprodukter,Meieriprodukter,1452,353,58,37,23.4,1.1,3.7,10.5,3.9,1.1,8.9,0.8,7.5,0.8,0.5,0.1,0,0,0,0,0,0,0,0.1,0.1,91,2.9,0,2.9,0,0,0,2,0.1,0,352,370,334,217,0,0,0,0.2,0,0.5,0,0,0.4,0,76,0,30,0,0,0,2,0,90,10,A02ML#F07.A074C
1.273,"Kremfløte, 37 % fett, laktosefri",Meieriprodukter,Meieriprodukter,1452,353,58,37,23.5,1.1,3.7,10.5,3.9,1.1,8.9,0.8,7.6,0.8,0.5,0.1,0,0,0,0,0,0,0,0.1,0.1,91,2.9,0,2.9,0,0,0,2,0.1,0,535,553,517,218,0.2,0.9,0.03,0.15,0,0.5,0.02,4,0.2,0,76,0,30,92,5,0.2,1,0.09,51,12,A02ML#F07.A074C$F10.A0CQD$F18.A07NL$F19.A07PN
1.269,"Kremost, Philadelphia",Meieriprodukter,Meieriprodukter,1160,281,64,27.3,18,0.8,2.8,7.2,2.5,0,6.4,0.5,5.5,1.2,0.6,0.2,0,0,0,0,0,0,0,0.6,0.6,85,2.7,0,2.7,0,0,0,6.1,0.7,0,285,287,284,19,0.1,0.7,0.03,0.17,0.1,1.5,0.04,15,0.2,0,88,0.1,268,71,7,0.7,3,0,95,7,A02QZ#F18.A07NL$F19.A07PR
1.253,"Kremost, krydder",Meieriprodukter,Meieriprodukter,1145,277,64,27,17.1,0.8,2.7,7.6,2.8,0.8,6.5,0.6,5.5,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,66,2.6,0,2.6,0,0,0,6,1,0,257,270,244,159,0,0.7,0.03,0.19,0,1.4,0.03,15,0.3,0,96,0.1,400,120,9,0.7,8,0.01,120,26,A02QZ
1.271,"Kremost, lett, Philadelphia",Meieriprodukter,Meieriprodukter,815,196,71,16,10.6,0.5,1.6,4.3,1.5,0,3.8,0.3,3.3,0.7,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4,50,5.3,0,5.3,0,0,0,7.8,0.4,0,169,169,168,11,0.1,0.4,0.02,0.1,0,1.9,0.02,18,0.1,0,52,0.1,159,42,4,0.4,4,0,57,14,A02QZ#F07.A073D$F10.A0CRG$F18.A07NL$F19.A07PR
1.15,"Kremost, naturell",Meieriprodukter,Meieriprodukter,1146,278,64,27,17.1,0.8,2.7,7.6,2.8,0.8,6.5,0.6,5.5,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,66,2.7,0,2.7,0,0,0,6,1,0,257,270,244,159,0,0.7,0.03,0.19,0,1.4,0.03,15,0.3,0,96,0.1,400,120,9,0.7,8,0.01,120,26,A02QZ
1.254,"Kremost, pepper",Meieriprodukter,Meieriprodukter,1146,278,64,27,17.1,0.8,2.7,7.6,2.8,0.8,6.5,0.6,5.5,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,66,2.7,0,2.7,0,0,0,6,1,0,257,270,244,159,0,0.7,0.03,0.19,0,1.4,0.03,15,0.3,0,96,0.1,400,120,9,0.7,8,0.01,120,26,A02QZ
1.212,"Kremost, urter",Meieriprodukter,Meieriprodukter,1146,278,64,27,17.1,0.8,2.7,7.6,2.8,0.8,6.5,0.6,5.5,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,66,2.7,0,2.7,0,0,0,6,1,0,257,270,244,159,0,0.7,0.03,0.19,0,1.4,0.03,15,0.3,0,96,0.1,400,120,9,0.7,8,0.01,120,26,A02QZ
1.036,"Kvarg, 1 % fett, Kesam",Meieriprodukter,Meieriprodukter,280,66,85,1,0.6,0,0.1,0.3,0.1,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,4.3,0,4.3,0,0,0,10,0.1,0,4,4,4,5,0,0,0,0.18,0.1,2.4,0.05,26,0.8,0,125,0,34,150,13,0.6,4,0.02,145,14,A02QK#F07.A06YT$F10.A0CRG$F18.A07NL$F19.A07PR
1.226,"Kvarg, 7 % fett, Kesam",Meieriprodukter,Meieriprodukter,450,108,82,7.1,4.5,0.2,0.7,2,0.7,0.2,1.7,0.2,1.4,0.2,0.1,0,0,0,0,0,0,0,0,0,0,17,4,0,4,2.5,0,0,7,0.1,0,32,36,29,42,0,0.2,0,0.2,0.1,1.7,0,26,0.8,0,133,0,34,140,12,0.6,3,0.02,150,16,A02QK#F07.A071M$F18.A07NL$F19.A07PR
1.23,"Lettmelk, 0,5 % fett, vitamin D, Q-meieriene",Meieriprodukter,Meieriprodukter,158,37,91,0.5,0.3,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0,4.5,0,0,0,3.7,0.1,0,7,7,6,6,0.4,0,0.05,0.14,0.1,1,0.04,5,0.5,0,140,0,40,180,13,0.4,1,0.01,105,16,A02LZ#F07.A06YN$F09.A0EXM$F10.A0F6C$F18.A07NL$F19.A07PN
1.192,"Lettmelk, 0,5 % fett, vitamin D, Tine",Meieriprodukter,Meieriprodukter,155,37,92,0.5,0.3,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0,4.5,0,0,0,3.5,0.1,0,3,3,3,3,0.8,0,0.05,0.15,0.1,0.9,0.04,4,0.6,0,130,0,42,171,10,0.4,1,0.01,115,16,A02LZ#F07.A06YN$F09.A0EXM$F18.A07NL$F19.A07PN
