Matvare ID,Matvare,Kategori,Kostholdsgrupper,Kilojoule (kJ),Kilokalorier (kcal),Vann (g),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Salt (NaCl) (g),Alkohol (g),Vitamin A (RAE) (RAE),Vitamin A (RE) (RE),Retinol (µg),Betakaroten (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Jern (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Magnesium (Mg) (mg),Sink (Zn) (mg),Selen (Se) (µg),Kobber (Cu) (mg),Fosfor (P) (mg),Jod (I) (µg),FoodEx2-klassifisering
13.015,"Hetvin, søt, 17 vol-% alkohol",Drikke,Drikke,578,138,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,9.8,9.8,9.8,0,0.3,0,14,0,0,0,0,0,0,0,0.01,0.1,0.2,0.01,0,0,0,7,0.4,13,110,11,0,0,0.11,10,2,A03NH
13.018,"Hetvin, tørr, 15 vol-% alkohol",Drikke,Drikke,401,96,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0.1,0,12,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,7,0.3,11,34,6,0,0,0.03,6,2,A03NH
6.59,"Husholdningssaft, drikkeklar",Drikke,Drikke,178,42,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,10.4,8.9,10.4,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,2,0.1,1,9,1,0,0,0,1,0,A03EV#F22.A07SH$F28.A07MQ
6.589,"Husholdningssaft, ublandet, kjøpt",Drikke,Drikke,892,210,48,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,0,52.2,44.4,52.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0.04,0.1,0.1,0.02,0,0,0,8,0.4,3,44,4,0,0,0.01,6,0,A03EV#F10.A0CRD$F22.A07SH
13.056,"Hvitvin, halvsøt/søt, inkl musserende",Drikke,Drikke,298,72,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,3.4,0,3.4,0,0.2,0,8.2,0,0,0,0,0,0,0,0.01,0.1,0.1,0.01,0,0,0,14,0.6,13,110,11,0,0,0.05,13,2,A03MV
13.031,"Hvitvin, halvtørr, 10 vol-% alkohol",Drikke,Drikke,299,72,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0.1,0,9.9,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0,0,0,12,0.8,11,81,8,0,0,0,8,2,A03MV#F11.A07CD
13.058,"Hvitvin, rosé, musserende",Drikke,Drikke,435,104,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5.8,6,0,0.2,0,11.4,0,0,0,0,0,0,0,0.01,0.1,0.1,0.01,0,0,0,10,0.5,9,105,11,0.1,0,0.07,13,2,A03NB#F26.A07XD
13.032,"Hvitvin, tørr, 12 vol-% alkohol",Drikke,Drikke,287,69,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0.1,0,9.5,0,0,0,0,0,0,0,0.01,0.1,0.1,0.02,0,0,0,9,0.5,4,61,8,0,0,0.01,6,2,A03MV#F11.A07CD
6.243,"Ingefærjuice, ingefærshot, kjøpt i kafé/bakeri",Drikke,Drikke,237,56,86,0.2,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,12.8,1,11.9,0,11.6,0.6,0.3,0,0,0,0,0,4,0,0.1,0.06,0.22,0.3,0.3,0.06,6,0,5,11,0.5,5,203,13,0.1,0,0.05,14,0,A03DB#F02.A068V$F22.A07SK$F27.A01AB$F27.A01DJ$F28.A07LN$F28.A0CRL
6.244,"Ingefærjuice, ingefærshot, med appelsin og gurkemeie, kjøpt i kafé/bakeri",Drikke,Drikke,215,51,87,0.3,0.1,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,10.8,1.4,9.4,0,9.2,0.6,0.8,0,0,3,6,0,36,0,0.2,0.26,0.06,0.5,0.6,0.07,27,0,26,15,0.8,5,232,17,0.2,0,0.07,22,1,A03DB#F02.A068V$F22.A07SK$F27.A01AB$F27.A0DZB$F28.A07LN$F28.A0CRL
13.12,"Iskaffe, cappuchino",Drikke,Drikke,248,59,87,1,0.6,0,0.1,0.3,0.1,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,9.5,0,9.5,5,5,0,3,0.2,0,11,11,11,0,0,0,0.04,0.1,0.1,0.6,0.03,4,0,0,99,0.1,80,165,10,0.3,2,0.01,89,11,A03KH#F02.A068Y$F04.A02LZ$F04.A032H$F04.A03DK$F04.A03GN$F18.A07NZ$F28.A07MK
13.151,"Iste, fersken, kjøpt",Drikke,Drikke,124,29,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,7.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,22,8,1,0,0,0,0,0,A03LF#F02.A068Y$F04.A032J$F04.A03DK$F04.A03HS$F28.A07MK
13.071,"Iste, kjøpt",Drikke,Drikke,125,29,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,12,1,0,0,0,1,0,A03LF#F08.A032J
13.07,"Iste, kunstig søtet, lett, kjøpt",Drikke,Drikke,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,19,8,0,0,0,0,0,0,A03LF#F04.A06SB$F08.A046M
13.15,"Iste, sitron, kjøpt",Drikke,Drikke,125,29,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,11,16,1,0,0,0,1,0,A03LF#F02.A068Y$F04.A03DK$F04.A03HS$F04.A06QE$F28.A07MK
6.245,"Juice, med eple, gulrot, ingefær og sitron, kjøpt i kafé/bakeri",Drikke,Drikke,162,38,90,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,1.3,7.1,0,4.5,1,0.4,0,0,112,224,0,1344,0,0.2,0.09,0.06,0.3,0.4,0.06,14,0,10,13,0.3,9,172,11,0.1,0,0.04,27,0,A03DB#F02.A068V$F22.A07SK$F27.A00QH$F27.A01AB$F27.A01BY$F27.A01DJ$F28.A07LN$F28.A0CRL
6.246,"Juice, med rødbete, gulrot og ingefær, kjøpt i kafé/bakeri",Drikke,Drikke,170,40,90,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.3,8.7,0,7.8,0.5,0.4,0,0,9,17,0,107,0,0.1,0.11,0.1,0.2,0.3,0.03,16,0,13,10,0.3,6,157,9,0.1,0,0.03,14,0,A03DB#F02.A068V$F22.A07SK$F27.A00QG$F27.A00QH$F27.A01AB$F27.A01DJ$F27.A0DZB$F28.A07LN$F28.A0CRL
